population_density,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million
54.422,48952.0,1311.0,187.286,1960.0,95.0,13.571,0.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54.422,50536.0,1584.0,226.286,2054.0,94.0,13.429,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54.422,51848.0,1312.0,187.429,2158.0,104.0,14.857,0.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54.422,52709.0,861.0,123.0,2221.0,63.0,9.0,0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54.422,53489.0,780.0,111.429,2277.0,56.0,8.0,0.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54.422,53984.0,495.0,70.714,2339.0,62.0,8.857,0.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54.422,54595.0,611.0,87.286,2378.0,39.0,5.571,0.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54.422,55023.0,428.0,61.143,2400.0,22.0,3.143,0.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54.422,55335.0,312.0,44.571,2410.0,10.0,1.429,0.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54.422,55492.0,157.0,22.429,2427.0,17.0,2.429,0.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54.422,55604.0,112.0,16.0,2432.0,5.0,0.714,0.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54.422,55714.0,110.0,15.714,2443.0,11.0,1.571,0.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54.422,55847.0,133.0,19.0,2449.0,6.0,0.857,1.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54.422,55985.0,138.0,19.714,2457.0,8.0,1.143,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54.422,56103.0,118.0,16.857,2463.0,6.0,0.857,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54.422,56294.0,191.0,27.286,2470.0,7.0,1.0,1.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54.422,56676.0,382.0,54.571,2497.0,27.0,3.857,1.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54.422,57160.0,484.0,69.143,2521.0,24.0,3.429,1.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54.422,57793.0,633.0,90.429,2539.0,18.0,2.571,1.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54.422,58843.0,1050.0,150.0,2582.0,43.0,6.143,1.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54.422,60122.0,1279.0,182.714,2637.0,55.0,7.857,1.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54.422,61842.0,1720.0,245.714,2686.0,49.0,7.0,1.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54.422,63484.0,1642.0,234.571,2742.0,56.0,8.0,1.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54.422,65728.0,2244.0,320.571,2802.0,60.0,8.571,1.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54.422,70761.0,5033.0,719.0,2919.0,117.0,16.714,1.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54.422,79224.0,8463.0,1209.0,3145.0,226.0,32.286,1.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54.422,89861.0,10637.0,1519.571,3527.0,382.0,54.571,1.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54.422,101906.0,12045.0,1720.714,4122.0,595.0,85.0,1.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54.422,114220.0,12314.0,1759.143,4650.0,528.0,75.429,1.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54.422,124748.0,10528.0,1504.0,5199.0,549.0,78.429,0.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54.422,133578.0,8830.0,1261.429,5724.0,525.0,75.0,0.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54.422,140602.0,7024.0,1003.429,6147.0,423.0,60.429,0.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54.422,143871.0,3269.0,467.0,6425.0,278.0,39.714,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54.422,147501.0,3630.0,518.571,6737.0,312.0,44.571,0.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
